ts,record_id,user_authority,user,direction,base_asset_amount,quote_asset_amount,mark_price_before,mark_price_after,fee,referrer_reward,referee_discount,token_discount,liquidation,market_index,oracle_price
2022-02-06 19:31:52-05:00,3159978,4CLaLrTr7juGATt6FAaw8JksSNGdTEGaA78otYJbdHDs,DRKUb36Rh99NQ4CCEsZSBBfspz2vdNwM1qPY6P2jNrbu,PositionDirection.Long(),179954351860409,989000000,549556179682,549611460361,989000,0,0,0,False,3,549556499215
2022-02-06 19:31:52-05:00,3159979,dsXDNhsw5LHYoaFivThPKZZkpgw4MBfv7PYAy5Dmdyb,Cy8FP7bE9YT9nD65GTVtaCNT7xHRaSnjiHxVuusb6dFR,PositionDirection.Long(),31479474898273,1308000000,4154653609674,4155523173055,1308000,0,0,0,False,5,4155938725372
2022-02-06 19:31:52-05:00,3159980,BbjJgdGNyEZ3xfCCZVMQwKwpjA4AxPC9fAuAxdqiH7CG,88WGF4Y4GF1VYpv8zRJZdxmmSAwrqAZrdbo7KnAD4dU9,PositionDirection.Long(),7451640556762443,749000000,10050550092,10052405692,749000,0,0,0,False,10,10063713800
2022-02-06 19:31:52-05:00,3159981,4CLaLrTr7juGATt6FAaw8JksSNGdTEGaA78otYJbdHDs,DRKUb36Rh99NQ4CCEsZSBBfspz2vdNwM1qPY6P2jNrbu,PositionDirection.Long(),459889409797082,5220000000,1134829062911,1135281964949,5220000,0,0,0,False,0,1135354650000
2022-02-06 19:31:52-05:00,3159982,dsXDNhsw5LHYoaFivThPKZZkpgw4MBfv7PYAy5Dmdyb,Cy8FP7bE9YT9nD65GTVtaCNT7xHRaSnjiHxVuusb6dFR,PositionDirection.Long(),16534007213214767,2842000000,17184840595,17192791388,2842000,0,0,0,False,6,17191072109
2022-02-06 19:31:54-05:00,3159983,4CLaLrTr7juGATt6FAaw8JksSNGdTEGaA78otYJbdHDs,DRKUb36Rh99NQ4CCEsZSBBfspz2vdNwM1qPY6P2jNrbu,PositionDirection.Long(),999517908243344,5495000000,549611460361,549918656936,5495000,0,0,0,False,3,549863665071
2022-02-06 19:31:54-05:00,3159984,4CLaLrTr7juGATt6FAaw8JksSNGdTEGaA78otYJbdHDs,DRKUb36Rh99NQ4CCEsZSBBfspz2vdNwM1qPY6P2jNrbu,PositionDirection.Long(),169835236950614,934000000,549918656936,549970880502,934000,0,0,0,False,3,549915883414
2022-02-06 19:31:54-05:00,3159985,D5RCk5NfTVHEqgrrhNXgLrXQDzdnUmPiGXuLccaECLvp,AA6gh2EZyDTAxUnv1B6ZFynH6t5C2TMZptc9Vkrvx47u,PositionDirection.Long(),227530080504753,1251428793,549970880502,550040856631,1251428,0,0,0,False,3,549985852546
2022-02-06 19:31:54-05:00,3159986,DXgo3PMFzUTdvW8xrj7w8Ks7L9XGK7VRVbM748pisja3,5MXwPXQC9jbFQf51EDa9sbtiuQhGWESmrLNhud4P7hBB,PositionDirection.Long(),158431174781528,1798764195,1135281964949,1135438051776,1798764,0,0,0,False,0,1135382500000
2022-02-06 19:31:54-05:00,3159987,FgxTXM14VNSQAP42SUsikZedphCcvvjZXNKgneXtDnXW,9J7RrTQY7jjtdbF8xfraYtbjJvRk8D2x3ADVu3NyBWWd,PositionDirection.Long(),4977728560246471,500412326,10052405692,10053645527,500412,0,0,0,False,10,10068088500
2022-02-06 19:31:55-05:00,3159988,D5RCk5NfTVHEqgrrhNXgLrXQDzdnUmPiGXuLccaECLvp,AA6gh2EZyDTAxUnv1B6ZFynH6t5C2TMZptc9Vkrvx47u,PositionDirection.Long(),589238489436252,3241586478,550040856631,550222137083,3241586,0,0,0,False,3,550167114870
2022-02-06 19:31:55-05:00,3159989,FgxTXM14VNSQAP42SUsikZedphCcvvjZXNKgneXtDnXW,9J7RrTQY7jjtdbF8xfraYtbjJvRk8D2x3ADVu3NyBWWd,PositionDirection.Long(),993291423484,99862,10053645527,10053645774,99,0,0,0,False,10,10069767700
