,user_position_pubkey,user_authority,position_index,market_index,quote_asset_amount,base_asset_amount,last_cumulative_funding_rate,entry_price
30,AV8ndys1dnL31GKm5tEJLk74y4L9DuP6gC8ZvUtuVxfM,DZay4ADcfoFainzjooJ9To7sb4Dn4iEoMs8tnYVrdwN1,,,,,,
31,67yTp8xt2SdToAZViwohGLMK21ZFteK5A5bX6aNA1kT7,2Uu5wkngx2hF7invU5XysdV6G44dVr18hHJJ3tGQVyZe,,,,,,
32,274c4gPShcpE15SG3Z7FyQ64j4LVHgAD6wJc3xftGM3w,2oQPa92WScQB7dFm8zfgpascq547vxfo4Dv2T6tWqhVH,,,,,,
33,HT22Au8YZoja3ijYVuxEwSZdve73yrp1NKczv4vGbzrL,gwRpwn2swQgwyJ7ijihN1aKNb1LtsvJwWpWkGc3ttEc,0.0,0.0,0.53,0.0051681319432,14.51802633730454,102.55156134265314
34,3bfyks2Vuiwi72rpvyCEXGTpX9N5upzJt2Py3TmQvWFA,89A6Tv13o7bwW3g44UYNdAXSdiHousCmmzh33ENLReTx,0.0,0.0,1523.63,-9.8999999969365,0.39675729422983,153.90202024964432
35,Gi1ZukYnLoBbsvtawfsvjFXBx2L7N8zGUces5AXSvenW,4W2v7kEbiDBRjhjG32Zx4r1aiHWEL7Pgd8sidpzGDNui,,,,,,
36,EgRQvnfibep6ALpGF7UZm7CKzCmFtnXCCqgqxmEKjdHP,AWHa5KCJHGJk8S6p7rAZN1snd9KSQZf1ZXUXYQqAZkVp,,,,,,
37,pscjH4sPnNL6zQBmvHjEEbix6BTstnsrSwGysNWyPkd,8BTja7VnFPe6M9BHTqg5LTpX6vd4ugTeWLzpq3oFP8WM,,,,,,
38,AZvQLvB9CixWmfAc156sRP1NCUru8p3xgPT8k3Y5fS4Q,2XxJn5mg5No71rNLSh79fNt9ExMdrVGA95rUKqybYffo,,,,,,
39,8SNVfMbDraUmfjcGs8SmsmREL1owtbhjw4Wiq2XhkgTZ,GvQy1MRaMGQW3tx46Af8d5U9TAmnmYHt9aXy3TGrtR5T,,,,,,
40,FuVPtuD8vvrEeySLNpqYXkzrXFZdsbQYXC98p3snGpGC,36bakk2UVFrNtRrWBH4AfDr3U623sFstdmE16mQh4Xpy,0.0,0.0,46.72,-0.4864010295061,3.31985609920529,96.05242827598514
41,GaRVEgaHgqRUDDzRkTeVJUu1TLz1E49XY94JMepYR1iD,EjSF6BX7KMr1s9D4AuLhtWvMFSVcZmkX98uvWajvDgpG,0.0,2.0,100.99,0.0257990315124,126.09586849309076,3914.4880284153433
42,GaRVEgaHgqRUDDzRkTeVJUu1TLz1E49XY94JMepYR1iD,EjSF6BX7KMr1s9D4AuLhtWvMFSVcZmkX98uvWajvDgpG,1.0,1.0,100.91,-0.002165841271,2051.766076385699,46591.59530809402
43,HMYRRgt77FRhHTdCm7oCAGBJStd1ALYh6d3ionNLeLRP,E3V2Am8L1QpdwEfVQ82ri7RUjHRnana21U8ZFcnLW6aP,,,,,,
44,6KJe4DfNk4tqQ19ny35DRi8Qof4wPAdSgq9YaGfYGLbm,CBis6pEoHb7CGDwJgVFQPW5uqqpHizisSLPrGjokMxv4,,,,,,
45,8apmWSZdS8s1ScoNVj4AvSJsbQCj1drU3HL74khuANT2,68F35fonSGS1P6LMYmAmeoM8kC6Z78NabMqYLeCZr9GJ,0.0,0.0,0.11,0.0006295170095,14.51802633730454,174.737137106698
46,CkkGYSVDhiYPhoTAxYRMQyScntcdguhgj5YGEm6HFx79,GrPFAgT5YQSQyFCqKGsjL85sjSjw4i3zm2Jzyu8omdNc,,,,,,
47,HLqW9SeJ4DR2QHAtEjDd4vxHd9NcoaF2JJhxzo8kp6ZB,85UkrKF6Rz5KHe9evXdMGTwSZYfesb6YsCnLEwV9DFXL,,,,,,
48,BXPGbkfFFjbtLsXperijUzestFGLXcxEPW51t1NS1Lvy,4MnhDerF758c1jG5Ur7t2zTQE5BC1ww9TXEH4CnZZ34R,,,,,,
49,AW8oBDoruWZExzdGtMkzEVHhP8HVTBsNBs2WB3ujPw8R,7F5YjZVaJnGYGucnD93aZ1bT9piWkpQcWZEYF6pcCwjj,,,,,,
50,5u4zURdYiEEeL4JYittHXRQ3Q9bxHeP6C7dZ8a2Mbvpa,8VcttrvUT5Qjo81qkDtq1DyTuNUEFyFaYJk7cRnLnhnD,,,,,,
51,35EpBWYH3MPsgACzBTTA1HAnHVE9wwLYezVKxrTQMxQ4,ARbcHRYtT68oE86E7gS7fEbqrzBtmg1cGGBy5X8hJaD7,1.0,6.0,1.0,-0.5965656331137,0.08424241191736,1.6762614949517365
52,35EpBWYH3MPsgACzBTTA1HAnHVE9wwLYezVKxrTQMxQ4,ARbcHRYtT68oE86E7gS7fEbqrzBtmg1cGGBy5X8hJaD7,2.0,7.0,2581.8,-99.0336869245042,2.2312740142448,26.069917016905265
53,35EpBWYH3MPsgACzBTTA1HAnHVE9wwLYezVKxrTQMxQ4,ARbcHRYtT68oE86E7gS7fEbqrzBtmg1cGGBy5X8hJaD7,3.0,8.0,1.0,-0.0544544528524,0.70652049642597,18.36397112850481
54,35EpBWYH3MPsgACzBTTA1HAnHVE9wwLYezVKxrTQMxQ4,ARbcHRYtT68oE86E7gS7fEbqrzBtmg1cGGBy5X8hJaD7,4.0,9.0,1.0,0.9476572532879,0.00082357986649,1.0552338374771013
55,4HPEPDgpRfh2PxZQCUTwpjDUJve1jEexGPxVTzjziiXW,H1U2kWcKXFD8WvytobXNz3aj2nAQk8Q7L7HoKhNpV3Gy,,,,,,
56,HoaZyS9FsnTurhqYGoUj9m6akA8dahexXavt8aXTQctS,7H7up1CfeLA8r7P4yGjTWt3PQnA5TEUrhWadj8hoioGf,,,,,,
57,H6JKBgrjzjWbXKWQBp9gjKXc8LAXAjd45FXhyauRkigR,9YFgHucCu6n9MePWiCo3d3hndkRkwNJVazgChRFVs5zM,,,,,,
58,Fqb9reL71ALcTL6bfYq2itQWUVA45BZ8hixQabBicV8g,6DJEUVzJunfJKvTAeyShhn5pgEBJRgCXXAtBznDPpDmd,,,,,,
59,2sh33qDAk3HtGJAaZ24KxGGAdscDUrR2uSCy4SGhTowU,7omWmwxDBfhaQo9WMx3SMFUM24eK6Fs7JNuLwHiU12YR,,,,,,
60,FSgR7TrPWzwz5tDX78TG1YvdqeSqMJTpkSzyZr9ke8eV,EUHoPgKPoNcXs8DvdCKPGgcL3qvCUg62UujqgMcoYtqH,,,,,,
61,C6LxHnpKvUAbH24LnPqWb6ahzoVrJPSCASocjSa4Wcm2,EuRLj7ZrZUpaATY3A1Lz8Uya4um8rwnnUgMJpuLfgUBM,,,,,,
62,5FgiHPvQPsMPRV4n57Z8s6JaSjKNJ9yiSn6EgYnMWjKV,ApXCowzQeJFrsYG5wAcnQzhCmhrSbShtojq2a985SUtQ,,,,,,
63,4xvgBQuFQGaeJyVVjNEBiNhc6rWnjGGY5nxvZt2HBDAm,Hn2vg5sPj8WYVoh5H19rjBBcJQRWZfW3u7THZqu9AT8,,,,,,
64,2rF4WwqGB8daN9tBMBquZAdWaiP92PX7cLV9H2FPFZfW,FENjyrGusHhfJfpsdJ7uvaCkPL1KDN9C2NZYo3GWbWcN,,,,,,
65,D6Kb3okHvJb1eE9hE77oyYzuakxHSPYbFWQwNfdv5XHZ,FmFDxbc7HpFwnYzrFUTapmupSQPtnEiM2bUeYnEbmYMP,0.0,0.0,23.84,0.232756547667,14.55854213882951,102.42461593006354
66,FQrxvYx8Jb1pdEpdsHaFxf8JbKnfPRF3v8nBKDYe8FKE,AXj2zVZoe1NpBRnQpcYAaZFfzkMR9aLU1tCdLj6ekGcU,0.0,0.0,141.0,0.8618263745712,1.34277910614117,163.60603963896355
67,D5vwWAMHVooobG2sCWv9EwtJrAFZG6cwKH4dfmA98tbt,2PzBAkdXkrwH9VuoMALumQz86qkW7sSBQtCrHw14JUp3,,,,,,
68,6MFvMJ1EY2pLiiYtLNZU9mTApSaFF2WGWj9r3GeBXW3B,7ZfhGGDbMfyGXzKjm5Yra1Fk3aG6NVwAJd56sAEvuaDk,,,,,,
69,EvN4KU98LJZN73DCwUA9DrdDFKmHPAUgUmpLzY3ajAJN,Fk5b2ouNNesKsCzxdhoEWWg4dRWfGiEbJztsaZcmgAf7,,,,,,
70,3DmQyungZMK4T1a1PgXh5shBskwP69tTLmZPh7HZ76vh,G8nRLTWTT5aD7q7TcSa2mw7p12GUuHDVq5ev4vyXbdKi,0.0,0.0,0.16,0.0008651771562,14.5326414775337,184.9332230438749
71,GmFtkgK727EuFXerjiRF8W7rAe41L9vUKgPoWzvVWu1G,AE3tXzh9fQyPGKksPSdKst8ccR8ZNX2k2A88xerioDuH,,,,,,
72,GjXfru1b3ZcBEe1ZCQmbuMtNG3uVnektvsUvvE7nR9Yg,36SNt9cLCXEXSQ5WyWC4BQPGNVxSwus2P1jVKsfZbRXT,,,,,,
73,HrDVLsQ6gN8oKDSr4G872aFB9xuv8MG7KEkNyhytPkn,CuP5X3SN8cnyHzNL5XEJRRaYhzEvUP35aF17jazsiy1W,0.0,9.0,56.85,-55.2440302238685,-0.00613507917061,1.0290704673359916
74,HrDVLsQ6gN8oKDSr4G872aFB9xuv8MG7KEkNyhytPkn,CuP5X3SN8cnyHzNL5XEJRRaYhzEvUP35aF17jazsiy1W,1.0,4.0,388.68,-4.8675615482383,0.09256211963239,79.85107042779431
75,2tMCDLFXmKj4gWRDXJzGGasiYvwaQvnaE6sKLiKQp3Pa,CrPHi8G8DnuALMK1ifDFQjDFMR2eAdfYC1RmWjd3U76c,,,,,,
76,FmHM7YvKNQBuRUQfBBVz9mirV33PRNFh3PXYrbpoS5sp,3qd7Yr96TRCpq1gxzbog2D6ixViSWjk2wKrmUaGQXhNq,,,,,,
77,HAJwPiR92uNbYvLmTagVjkHCKcuvjAb6xZLEjvNZs8aD,DbXR17wXNbhDgUYGjFTxcE9WDK75Q1gRmkCvscKiy5Ld,,,,,,
78,8rxgXpGgC5Arc9NZvtTcAdGVSSUYjH31ME8NqoVGSdyg,CttiwAgawnjpUZNB4udSKNXpygGQ5e3WRrRbRaK2icGs,0.0,0.0,2.99,-0.0260576725231,2.98126356430986,114.74547457565059
79,FB6NJBYAF7ez6jr7mce92nSXVih2HWshtgg3EQj6Qi8s,9K29tDZyrbP5CZpCZjnrQbkmcZQ4X3Vz8yGy99Vfecc1,,,,,,
80,BCk8GcmeWcxpufj4BRirsbsySBzmot53LogdDVNJ6tf8,DP3vxC3nDHdAEBkBZr8BEzTtmciriUNPFKBpxQkrvWiX,,,,,,
81,3e9hnX3LHcrHK8QF7Z2vpLEwiQQBiK1YFRkJQcoTxS32,CNxw2zp8z6kkb28aNJxNSY2SXVKYMuLYARjiQXmgtyFT,,,,,,
82,C9FK6Qyb5sqr9pGE1SYPethJNEWhnT34gVBCf4ybfMbv,57FHwPLp1qd9soPMR6ZjrSu51tKeEpqghvDeDVPm5rYf,,,,,,
83,w5dUABXzDR8PqJfvtVuuxHfvWmJpsu2aWHUfjcrUXpx,3rX27dRi8ht84xH51PArVKGzFT4ppL2tXF6UZAiksasD,,,,,,
84,2w4UXCJ8fTwtMNMXnH8dyeSvpZKxrNiC5X5bfBSAaNpu,Ei5DyayMLRREKZDgEurRN6omKiXm6BEAcZYLfKYCadcY,,,,,,
85,7Vp4w3nAdypxFAbZsq9CyLi83GM4z1rXPkrwUvPkP6XE,7BY59PkXpdNQBwBAUte9icDDzB9H7pUWpG92DDtb5bQp,,,,,,
86,88smXehwX4nx12f9CXNzHR5DBSCEGpoBEhYYEDvyhqc8,7VtHxtDuvL1DzVU3aqznHtCquAEz8pgiC1YiSLzQ6k91,,,,,,
87,EjF9ZKUaBWZodjKy7ET7rEyK1uSsKX2cvcd4eJSYarF8,4M7XECgNotuYef6fXsB659bgvA4LBYq9WrUFZP8jEZ8q,,,,,,
88,8D4hauiJW4hwKASXbCr9VigTxJNtk3rcQviU8Vim6huJ,4ZsApUTz52opTMvWwEbgTWXCEqybN6We8CtmHQhQZXnv,0.0,0.0,0.08,-0.000472225428,-4.75602830069803,169.4106146270463
89,EmGRiJu6uvCaYve9Bta8ZFngnM91Xkxn3KbtarJoHsKy,BQ9oWDH2ShcCWuN9qQKY3JCRwWx7y4RRfCLGfrsMe5bN,,,,,,
90,8GW5VjnQwbxcpTPxXjTKNWM72rXrbh8zJd2a7GNaFKEt,4Z6ncSi3zLjYk7ttrFyF4E4pQt4vsNyZ4sXvhGWiuwP7,,,,,,
91,ApPGt6j3rUVauN5zFYU2iK4PdEgG4FtV7xaajf6Bt4CW,AgNuJcFccEAjtDUkMJ4CKLMpio3CskMTywdcDrfw36BD,,,,,,
92,2ZDs8D933nghCQRB57huV8xZ9RQgEvSLwef5YiqdMkXx,BMAcFMt3Z9YPUYTHk8LLetJfa4pTx9zqjvRV7ftdvkNr,,,,,,
93,J8Zt9bxBRSh1amq4mdc7ZNp4Mk52dojsjS6CeaJmbN2k,3gZiUXoMzV4GnzYFRLFaCHfuFezxvaBAZqcTV4uEyAGN,,,,,,
